;bulan;data;rata2
203;01/12/1999;52920,72964;28,76126611
204;01/01/2000;53019,73525;28,8150735
205;01/02/2000;53089,2745;28,85286657
206;01/03/2000;53990,65182;29,34274555
207;01/04/2000;54565,71931;29,65528223
208;01/05/2000;54390,69971;29,56016289
209;01/06/2000;53545,36042;29,10073936
210;01/07/2000;54217,52827;29,46604798
211;01/08/2000;55287,34269;30,04746885
212;01/09/2000;57197,29288;31,08548526
213;01/10/2000;56796,06217;30,86742509
214;01/11/2000;53534,3452;29,09475283
215;01/12/2000;54501,95388;29,62062711
216;01/01/2001;53732,55463;29,20247534
217;01/02/2001;54316,32511;29,51974191
218;01/03/2001;54494,18872;29,61640691
219;01/04/2001;55336,23773;30,07404225
220;01/05/2001;55424,48622;30,12200338
221;01/06/2001;52998,73642;28,8036611
222;01/07/2001;54082,10811;29,39245006
223;01/08/2001;55760,56234;30,30465345
224;01/09/2001;56701,85576;30,81622596
225;01/10/2001;56372,54364;30,63725198
226;01/11/2001;54380,70104;29,55472883
227;01/12/2001;53245,10188;28,93755537
228;01/01/2002;53870,69271;29,27755039
229;01/02/2002;53872,36774;29,27846073
230;01/03/2002;54820,45597;29,79372607
231;01/04/2002;55973,85856;30,4205753
232;01/05/2002;55788,51213;30,31984355
233;01/06/2002;54915,31236;29,84527846
234;01/07/2002;54182,24519;29,44687238
235;01/08/2002;55242,04032;30,022848
236;01/09/2002;55872,06926;30,36525503
237;01/10/2002;58548,15866;31,81965145
238;01/11/2002;56689,53618;30,80953053
239;01/12/2002;55157,45202;29,9768761
240;01/01/2003;54626,62489;29,68838309
241;01/02/2003;54454,80086;29,59500047
242;01/03/2003;55396,80228;30,10695776
243;01/04/2003;56753,60108;30,84434842
244;01/05/2003;55027,9396;29,90648891
245;01/06/2003;54832,5316;29,80028892
246;01/07/2003;54143,21231;29,42565886
247;01/08/2003;55551,39992;30,19097822
248;01/09/2003;56452,58739;30,68075402
249;01/10/2003;57333,97074;31,15976671
250;01/11/2003;55282,90365;30,04505633
251;01/12/2003;53818,63758;29,24925955
252;01/01/2004;54701,00025;29,72880448
253;01/02/2004;54505,51833;29,62256431
254;01/03/2004;54958,59821;29,86880338
255;01/04/2004;56882,54569;30,914427
256;01/05/2004;55437,44935;30,12904856
257;01/06/2004;54222,42624;29,46870991
258;01/07/2004;54069,83278;29,38577869
259;01/08/2004;55200,58036;30,00031542
260;01/09/2004;55936,76118;30,40041368
261;01/10/2004;58149,43091;31,60295158
262;01/11/2004;56135,69738;30,50853119
263;01/12/2004;53783,00515;29,22989411
264;01/01/2005;54773,11935;29,76799964
265;01/02/2005;55797,77464;30,32487752
266;01/03/2005;55532,97155;30,1809628
267;01/04/2005;55012,0804;29,89786978
268;01/05/2005;55234,47447;30,01873613
269;01/06/2005;54449,42003;29,5920761
270;01/07/2005;53780,908;29,22875435
271;01/08/2005;55151,39449;29,97358396
272;01/09/2005;56643,44695;30,78448204
273;01/10/2005;56706,04289;30,81850157
274;01/11/2005;55250,38051;30,02738071
275;01/12/2005;52458,11694;28,50984616
276;01/01/2006;53385,16877;29,01367868
277;01/02/2006;54881,3892;29,82684196
278;01/03/2006;54745,6262;29,75305772
279;01/04/2006;55404,87145;30,11134318
280;01/05/2006;54736,20144;29,74793557
281;01/06/2006;53964,93167;29,32876721
282;01/07/2006;53338,25158;28,98818021
283;01/08/2006;54971,8956;29,87603022
284;01/09/2006;55951,94592;30,40866626
285;01/10/2006;57925,54343;31,4812736
286;01/11/2006;57191,67583;31,08243252
287;01/12/2006;56159,38741;30,5214062
288;01/01/2007;55926,37257;30,3947677
289;01/02/2007;55220,5666;30,0111775
290;01/03/2007;54511,60007;29,62586961
291;01/04/2007;55308,24795;30,05883041
292;01/05/2007;55513,0639;30,17014342
293;01/06/2007;54923,02362;29,84946936
294;01/07/2007;53895,86997;29,29123368
295;01/08/2007;54929,5805;29,85303288
296;01/09/2007;56548,87118;30,73308216
297;01/10/2007;57942,2606;31,49035902
298;01/11/2007;55970,23678;30,41860694
299;01/12/2007;53869,25546;29,27676927
300;01/01/2008;54776,06769;29,76960201
301;01/02/2008;53038,04485;28,82502438
302;01/03/2008;54474,11636;29,60549802
303;01/04/2008;55607,43752;30,22143343
304;01/05/2008;55945,69773;30,40527051
305;01/06/2008;54973,72599;29,87702499
306;01/07/2008;54419,07197;29,57558259
307;01/08/2008;55304,02575;30,05653574
308;01/09/2008;57192,83033;31,08305996
309;01/10/2008;58203,92549;31,6325682
310;01/11/2008;53987,12839;29,34083065
311;01/12/2008;53412,48012;29,0285218
312;01/01/2009;53947,05206;29,31905003
313;01/02/2009;53891,70242;29,28896871
314;01/03/2009;56267,31209;30,58006092
315;01/04/2009;56630,13857;30,77724922
316;01/05/2009;55210,4042;30,00565446
317;01/06/2009;55042,07523;29,91417132
318;01/07/2009;55289,38636;30,04857954
319;01/08/2009;56241,18806;30,56586307
320;01/09/2009;57260,50265;31,1198384
321;01/10/2009;58114,78358;31,58412151
322;01/11/2009;56700,19899;30,81532554
323;01/12/2009;56090,85033;30,48415779
324;01/01/2010;54656,75401;29,70475762
